EraID,EraNarrative,EventID,EventNarrative,EventDifficulty,OptionID,OptionText,OptionTag,PositiveOutcomeText,NegativeOutcomeText,PositivePS_Change,NegativePS_Change,PositiveStable_Change,NegativeStable_Change
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E3,"A sudden abundance of valuable resources brought prosperity, but risked pride and tension between the people of <CityName>.",ECONOMIC BOOM,O1,hosted a Festival of Plenty to celebrate and share the abundance.,Unique,"The tribe feasts joyfully, exchanging goods and stories under torchlit skies. The celebration turns prosperity into unity, leaving clans hopeful for the future.","The festival grows excessive, and accusations arise that some clans contributed less or took more. What should have united instead stirs envy and bitterness.",+10,-8,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E3,"A sudden abundance of valuable resources brought prosperity, but risked pride and tension between the people of <CityName>.",ECONOMIC BOOM,O2,tasked artisans to craft plenty of intricate tools and ornaments from the surplus.,Unique,Stonecutters and carvers create works of beauty and precision. Their craftsmanship elevates the tribe’s identity and inspires pride across all clans.,"Artisans waste rare resources chasing unproven designs. Disputes erupt over ownership of the items, and the boom begins to feel mismanaged.",+11,-9,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E3,"A sudden abundance of valuable resources brought prosperity, but risked pride and tension between the people of <CityName>.",ECONOMIC BOOM,O3,established a trading circle with neighbouring tribes.,Unique,"Trade brings new dyes, hides, tools, and stories into the settlement. Diplomacy strengthens as your tribe becomes a valued partner in regional exchange.","Rival tribes attempt to take advantage of the boom, demanding unfair trades or threatening raids. Prosperity becomes a political burden.",+9,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E3,"A sudden abundance of valuable resources brought prosperity, but risked pride and tension between the people of <CityName>.",ECONOMIC BOOM,O4,stored the surplus in clay‑lined pits and smokehouses for future use.,Unique,"New storage pits preserve food through harsh seasons, giving the tribe long‑term security. For the first time, the people imagine a stable future.",Structural failures spoil a large portion of the preserved food. Shock and finger‑pointing spread as clans question the judgement behind the storage plan.,+8,-6,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E3,"A sudden abundance of valuable resources brought prosperity, but risked pride and tension between the people of <CityName>.",ECONOMIC BOOM,O5,sent settlers to explore and expand into new and promising regions.,Unique,"Explorers return with tales of fertile valleys, rivers teeming with life, and new stone deposits. Their discoveries broaden the tribe’s vision of its destiny.","The distant lands prove treacherous, and many settlers never return. The losses shake the tribe’s confidence and cast a shadow over the boom.",+12,-10,5,-5
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E4,"A divide formed between the clans of <CityName> as the authority of the chieftain was challenged. Doubt spread quickly, and the people of <CityName> had to reaffirm its direction.",LEADERSHIP CRISIS,O1,"organised a Clash of Clans to select <CityName>'s rightful leader, through pure strength.",Unique,"The trial unites the tribe as warriors and elders witness a fair contest. The victor earns universal respect, restoring confidence and providing the tribe with a renewed sense of direction.","The contest ends in accusations of cheating and bias. Supporters of multiple contenders refuse to accept the outcome, deepening the crisis and dividing the clans.",+11,-10,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E4,"A divide formed between the clans of <CityName> as the authority of the chieftain was challenged. Doubt spread quickly, and the people of <CityName> had to reaffirm its direction.",LEADERSHIP CRISIS,O2,asked the shamans to interpret the stars to determine who the spirits favour to be <CityName>'s leader.,Unique,"The shamans speak of hawks, fireflies, and river signs that point to a chosen leader. Their message resonates through the tribe, calming tensions and restoring spiritual trust.","Competing shamans return with contradictory visions. Confusion spreads as clans take sides, each believing a different leader carries the spirits’ blessing.",+9,-8,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E4,"A divide formed between the clans of <CityName> as the authority of the chieftain was challenged. Doubt spread quickly, and the people of <CityName> had to reaffirm its direction.",LEADERSHIP CRISIS,O3,formed a temporary Council of Clans to share leadership.,Unique,Representatives from every clan gather to guide the tribe together. Their shared decision-making stabilises the tribe and encourages cooperation through the crisis.,"The council becomes paralyzed by constant disagreements. Every clan argues for its interests, leaving the tribe without clear direction as frustration grows.",+8,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E4,"A divide formed between the clans of <CityName> as the authority of the chieftain was challenged. Doubt spread quickly, and the people of <CityName> had to reaffirm its direction.",LEADERSHIP CRISIS,O4,held a Storytelling Night where elders recounted past crises and leaders.,Unique,"Ancient tales remind the tribe of the strength found in unity. A respected elder emerges as a natural leader, inspiring trust and guiding the tribe forward.","The recounting of old conflicts reignites forgotten grudges. Elders argue over historical truth, worsening current tensions instead of healing them.",+10,-9,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E4,"A divide formed between the clans of <CityName> as the authority of the chieftain was challenged. Doubt spread quickly, and the people of <CityName> had to reaffirm its direction.",LEADERSHIP CRISIS,O5,allowed each clan to select a representative to voice their reasonings for their issues with the chief.,Unique,A thoughtful youth rises to speak for the young hunters and gatherers. His calm words bridge generations and help redirect the tribe toward cooperation.,"The youth choose a brash warrior who inflames tensions. Older members see the choice as reckless, igniting disagreements between age groups.",+7,-6,5,-5
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E5,"A revolutionary discovery was made and its introduction to the people promised to elevate <CityName>'s ability to hunt for food, but its impact depended on how the clans reacted.",TECHNOLOGICAL BREAKTHROUGH,O1,allowed the inventors to demonstrate this discovery before the whole of <CityName>.,Unique,The demonstration captivates the tribe as young and old gather to watch. The innovation inspires excitement and unity as clans recognise its potential to improve daily life.,"The demonstration fails dramatically — the tool breaks or the fire burns too hot. Doubt spreads through the tribe, and the inventors lose prestige before they can refine their craft.",+10,-8,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E5,"A revolutionary discovery was made and its introduction to the people promised to elevate <CityName>'s ability to hunt for food, but its impact depended on how the clans reacted.",TECHNOLOGICAL BREAKTHROUGH,O2,encouraged artisans across clans to experiment with the technique.,Unique,"Artisans from all clans refine the discovery, adding improvements and variations. Their cooperation elevates the tribe’s craftsmanship far beyond its former limits.",Competition replaces cooperation as artisans accuse each other of theft and sabotage. The breakthrough becomes a source of rivalry rather than pride.,+11,-9,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E5,"A revolutionary discovery was made and its introduction to the people promised to elevate <CityName>'s ability to hunt for food, but its impact depended on how the clans reacted.",TECHNOLOGICAL BREAKTHROUGH,O3,declared the innovation sacred and entrusted its use to the shamans.,Unique,"The shamans integrate the discovery into rituals, elevating its importance and giving it spiritual meaning. The tribe sees the breakthrough as a blessing from the ancestors.","Clans accuse the shamans of hoarding the tool for influence. Suspicion grows as spiritual authority and practical needs clash, creating subtle fractures.",+8,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E5,"A revolutionary discovery was made and its introduction to the people promised to elevate <CityName>'s ability to hunt for food, but its impact depended on how the clans reacted.",TECHNOLOGICAL BREAKTHROUGH,O4,used the breakthrough to forge diplomatic offerings to neighbouring tribes.,Unique,"Your artisans craft gifts that astonish neighbouring clans. Diplomacy strengthens as your tribe becomes known for skill and generosity, forging new alliances.","Rivals misinterpret the offerings as hidden threats. Diplomacy collapses as neighbouring tribes grow wary, suspecting manipulation or concealed power.",+9,-8,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E5,"A revolutionary discovery was made and its introduction to the people promised to elevate <CityName>'s ability to hunt for food, but its impact depended on how the clans reacted.",TECHNOLOGICAL BREAKTHROUGH,O5,kept the discovery secret from the people of <CityName> while exploring its full potential. ,Unique,"Inventors refine the technique in secrecy until it becomes exceptionally powerful. When finally revealed, the discovery elevates the tribe’s standing and capability dramatically.",Whispers spread about hidden knowledge and secret gatherings. Fear and paranoia destabilise trust between clans long before the truth is revealed.,+12,-10,5,-5
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E6,"A violent tornado loomed on the horizon, threatening <CityName>'s daily life, endangering the people's safety and survival.",NATURAL DISASTER,O1,constructed emergency earth-and-wood shelters to protect the tribe.,Unique,"Working through wind and rain, families raise sturdy shelters reinforced with clay and timber. The structures hold firm, saving lives and giving the tribe a fragile but vital sense of security.","Despite desperate effort, the shelters collapse under the storm’s fury. Injuries mount and valuable supplies are lost, deepening fear and exposing the tribe’s vulnerability.",+10,-8,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E6,"A violent tornado loomed on the horizon, threatening <CityName>'s daily life, endangering the people's safety and survival.",NATURAL DISASTER,O2,sent scouts to search for safer high ground near <CityName>.,Unique,"The scouts return with news of a sheltered ridge where the storm’s reach weakens. The tribe relocates just in time, weathering the disaster with minimal loss and renewed gratitude.","The scouts misjudge the land, leading the tribe into an exposed hollow. The storm intensifies, bringing devastating floods that shatter morale and resources.",+9,-7,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E6,"A violent tornado loomed on the horizon, threatening <CityName>'s daily life, endangering the people's safety and survival.",NATURAL DISASTER,O3,asked the shamans to perform protective rites to calm the raging spirits.,Unique,"Chants echo across the village as flames crackle in ritual pits. The storm seems to ease briefly, giving the tribe precious moments to regroup and restore order.","The rites fail to bring relief. Some clans blame the shamans for angering the spirits further, and fear quickly turns to mistrust and blame among families.",+8,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E6,"A violent tornado loomed on the horizon, threatening <CityName>'s daily life, endangering the people's safety and survival.",NATURAL DISASTER,O4,"divided the tribe into task-groups to safeguard food, homes, and children.",Unique,"Every clan works with fierce determination—some reinforcing shelters, others guarding stores or carrying the vulnerable to safety. Cooperation in crisis strengthens unity.","Task-groups clash over priorities, creating chaos instead of order. Precious time is wasted in arguments, allowing the disaster to inflict deeper damage.",+11,-9,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E6,"A violent tornado loomed on the horizon, threatening <CityName>'s daily life, endangering the people's safety and survival.",NATURAL DISASTER,O5,retreated temporarily into sacred caves believed to be blessed by the ancestors of <CityName>.,Unique,"The caves withstand the storm, their walls etched with ancient symbols that comfort the tribe. Survival becomes a spiritual triumph, reinforcing belief in ancestral protection.","The caves flood unexpectedly, forcing a panicked escape. The tribe suffers injuries and morale plummets as once-revered shelters are revealed to be perilous.",+7,-6,5,-5
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E7,"A neighbouring tribe had begun enroaching on <CityName>'s hunting grounds, threatening the city's food supply.",FOREIGN RELATIONS INCIDENT,O1,sent a small peace-bearing delegation carrying symbolic gifts.,Unique,"The neighbouring tribe accepts the offerings graciously. Shared meals and exchanged stories cool tempers, laying the groundwork for future cooperation.","The gifts are misinterpreted as bribes or signs of weakness. The neighbouring tribe grows more aggressive, emboldened by what they perceive as submission.",+10,-8,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E7,"A neighbouring tribe had begun enroaching on <CityName>'s hunting grounds, threatening the city's food supply.",FOREIGN RELATIONS INCIDENT,O2,prepared a ceremonial hunt to demonstrate strength without hostility.,Unique,"Your hunters display mastery and discipline, impressing the neighbouring tribe. Respect replaces tension, and both sides agree to avoid future disputes.","The display backfires as rival hunters interpret it as a challenge. Clashes break out at the territory edge, fueling anger and escalating conflict.",+9,-7,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E7,"A neighbouring tribe had begun enroaching on <CityName>'s hunting grounds, threatening the city's food supply.",FOREIGN RELATIONS INCIDENT,O3,had the shamans mediate through shared spiritual rites with the rival tribe.,Unique,"The shamans enter a trance-like communion, emerging with signs interpreted as mutual favour. Spiritual harmony spreads, easing tensions between tribes.","The rival tribe accuses your shamans of manipulation. Spiritual distrust hardens positions, making negotiation far more difficult in the future.",+8,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E7,"A neighbouring tribe had begun enroaching on <CityName>'s hunting grounds, threatening the city's food supply.",FOREIGN RELATIONS INCIDENT,O4,strengthened the border patrols around <CityName> to discourage further encroachment.,Unique,"The patrols operate with discipline, avoiding provocation while clearly protecting your land. The rival tribe backs off, respecting your tribe’s vigilance.","A misinterpreted gesture or accidental encounter sparks violence along the border. The neighbouring tribe mobilises, transforming the tension into open threat.",+11,-9,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E7,"A neighbouring tribe had begun enroaching on <CityName>'s hunting grounds, threatening the city's food supply.",FOREIGN RELATIONS INCIDENT,O5,invited the rival tribe to a shared competition of skill and endurance.,Unique,The competition becomes a celebration of strength rather than hostility. Laughter breaks through rivalry as participants recognise shared values of courage and honour.,"The contests turn aggressive as tempers flare. Accusations of cheating spread rapidly, deepening resentment and worsening relations.",+7,-6,5,-5
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E8,"Tensions had risen between the people of <CityName> due to disputes over personal grievances. Without intervention from it's leaders, violence was close to erupting.",INTERNAL CONFLICT,O1,hosted a mediation circle where clan leaders of <CityName> spoke openly.,Unique,"Leaders gather around the central fire, voicing frustrations and misunderstandings. Through patient dialogue, they rediscover shared goals and agree to renewed cooperation.","Discussions escalate into shouting as old grudges resurface. The circle dissolves in hostility, worsening the divide and deepening mistrust.",+10,-8,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E8,"Tensions had risen between the people of <CityName> due to disputes over personal grievances. Without intervention from it's leaders, violence was close to erupting.",INTERNAL CONFLICT,O2,proposed a labour-sharing project that required the clans to work together.,Unique,"Building shelters, digging pits, or crafting tools side by side helps clans reconnect. Cooperation rekindles a sense of unity as shared labour mends emotional fractures.","Clans disagree over workload and credit. Accusations of laziness or sabotage emerge, transforming the project into a battleground of resentment.",+9,-7,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E8,"Tensions had risen between the people of <CityName> due to disputes over personal grievances. Without intervention from it's leaders, violence was close to erupting.",INTERNAL CONFLICT,O3,held a symbolic offering ceremony between clans to appease the ancestral spirits.,Unique,"Clans join in sacred rituals, offering carvings, herbs, and crafted items. The shared spiritual moment softens hearts and reminds them of their ancient common roots.","Some clans dismiss the ceremony as meaningless, sparking further disagreement. Participation becomes a point of pride or defiance, worsening the internal divide.",+8,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E8,"Tensions had risen between the people of <CityName> due to disputes over personal grievances. Without intervention from it's leaders, violence was close to erupting.",INTERNAL CONFLICT,O4,assigned neutral elders to judge the disputes impartially.,Unique,"Respected elders carefully review grievances, delivering fair rulings accepted by most. Their wisdom calms the situation and restores a sense of justice.","Clans claim the elders favour certain families, rejecting their judgments. The authority of the elders weakens, intensifying the conflict instead of resolving it.",+11,-9,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E8,"Tensions had risen between the people of <CityName> due to disputes over personal grievances. Without intervention from it's leaders, violence was close to erupting.",INTERNAL CONFLICT,O5,encouraged a communal feast where clans shared food and stories.,Unique,"A communal feast rekindles bonds as clans trade stories and songs. Laughter replaces bitterness, reminding everyone of the ties that bind the tribe together.",Arguments erupt over food distribution or seating arrangements. What was meant as reconciliation becomes another flashpoint for division.,+7,-6,5,-5
